alpha,gamma,sigma,activation,minimized_quantity,lambda_opt
0.005,2000.0,0.0,erf,error,1.5960801377939275e-05
0.1,100.0,0.0,erf,error,1.6610035065576092e-05
0.125,80.0,0.0,erf,error,1.4715978967177621e-05
0.17,58.8,0.0,erf,error,1.4715978967177621e-05
0.2,50.0,0.0,erf,error,4.133389176841029e-05
0.3,33.333333333333336,0.0,erf,error,0.000424425852131893
0.4,25.0,0.0,erf,error,0.001135392449878899
0.5,20.0,0.0,erf,error,0.002025774698520543
0.6,16.666666666666668,0.0,erf,error,0.0030061056748136917
1.0,10.0,0.0,erf,error,0.0069571342574436005
1.5,6.666666666666667,0.0,erf,error,0.01110793686175313
2.0,5.0,0.0,erf,error,0.014249039149726202
2.5,4.0,0.0,erf,error,0.016523666186336737
3.0,3.3333333333333335,0.0,erf,error,0.018110766417998997
3.5,2.857142857142857,0.0,erf,error,0.01916007602911811
4.0,2.5,0.0,erf,error,0.019775629340665415
4.5,2.2222222222222223,0.0,erf,error,0.020063820383629027
5.0,2.0,0.0,erf,error,0.02009306465433618
6.0,1.6666666666666667,0.0,erf,error,0.019645718638069826
7.0,1.4285714285714286,0.0,erf,error,0.018893293314476416
8.0,1.25,0.0,erf,error,0.018203946945659414
9.0,1.1111111111111112,0.0,erf,error,0.017842984541973743
10.0,1.0,0.0,erf,error,0.017942936166530966

0.25,8.0,0.0,erf,loss_laplace,0.016173296695520048
0.5,4.0,0.0,erf,loss_laplace,0.014098834628656944
0.75,2.6666666666666665,0.0,erf,loss_laplace,0.012101993200937586
1.0,2.0,0.0,erf,loss_laplace,0.010193919543180613
1.5,1.3333333333333333,0.0,erf,loss_laplace,0.0067235948715988255
2.0,1.0,0.0,erf,loss_laplace,0.0039092836996837
2.5,0.8,0.0,erf,loss_laplace,0.002308322152629497
3.0,0.6666666666666666,0.0,erf,loss_laplace,0.0014838051842603064
3.1,0.6451612903225806,0.0,erf,loss_laplace,0.0009959943843631197
3.2,0.625,0.0,erf,loss_laplace,0.0008915706552856275
3.3,0.6060606060606061,0.0,erf,loss_laplace,0.0005209281291518528
3.4,0.5882352941176471,0.0,erf,loss_laplace,0.00010128498277957644
4.0,0.5,0.0,erf,loss_laplace,5.582251719184114e-06
5.0,0.4,0.0,erf,loss_laplace,5.582251719184114e-06
6.0,0.3333333333333333,0.0,erf,loss_laplace,5.582251719184114e-06
7.0,0.2857142857142857,0.0,erf,loss_laplace,5.582251719184114e-06
8.0,0.25,0.0,erf,loss_laplace,5.582251719184114e-06
9.0,0.2222222222222222,0.0,erf,loss_laplace,5.582251719184114e-06
10.0,0.2,0.0,erf,loss_laplace,5.582251719184114e-06

0.1,100.0,0.0,erf,error_pb,1.3990709393925067e-05
0.5,20.0,0.0,erf,error_pb,1.3990709393925067e-05
0.6,16.666666666666668,0.0,erf,error_pb,1.3990709393925067e-05
1.0,10.0,0.0,erf,error_pb,0.0013256176383248115
1.5,6.666666666666667,0.0,erf,error_pb,0.005414062559600417
2.0,5.0,0.0,erf,error_pb,0.008527685043599747
2.5,4.0,0.0,erf,error_pb,0.010850906519529352
3.0,3.3333333333333335,0.0,erf,error_pb,0.012550306125025328
3.5,2.857142857142857,0.0,erf,error_pb,0.013757983107481626
4.0,2.5,0.0,erf,error_pb,0.01458159577034718
4.5,2.2222222222222223,0.0,erf,error_pb,0.015102058006433059
5.0,2.0,0.0,erf,error_pb,0.015389678556465858
6.0,1.6666666666666667,0.0,erf,error_pb,0.015490834219091852
7.0,1.4285714285714286,0.0,erf,error_pb,0.01527631729375574
8.0,1.25,0.0,erf,error_pb,0.015059721185256227
9.0,1.1111111111111112,0.0,erf,error_pb,0.01507303499543497
10.0,1.0,0.0,erf,error_pb,0.015444707713572436

0.1,100.0,0.0,erf,loss_pb,1.5960801377939275e-05
0.5,20.0,0.0,erf,loss_pb,1.5960801377939275e-05
0.6,16.666666666666668,0.0,erf,loss_pb,1.5960801377939275e-05
1.0,10.0,0.0,erf,loss_pb,1.5960801377939275e-05
1.5,6.666666666666667,0.0,erf,loss_pb,1.5960801377939275e-05
2.0,5.0,0.0,erf,loss_pb,1.5960801377939275e-05
2.5,4.0,0.0,erf,loss_pb,0.0007754202572494766
3.0,3.3333333333333335,0.0,erf,loss_pb,0.00196721272184914
3.5,2.857142857142857,0.0,erf,loss_pb,0.0029068024182840923
4.0,2.5,0.0,erf,loss_pb,0.0036170964619852484
4.5,2.2222222222222223,0.0,erf,loss_pb,0.004112230149187425
5.0,2.0,0.0,erf,loss_pb,0.004409028428648832
6.0,1.6666666666666667,0.0,erf,loss_pb,0.004437835736565739
7.0,1.4285714285714286,0.0,erf,loss_pb,0.0037596253870843745
8.0,1.25,0.0,erf,loss_pb,0.002396478037370552
9.0,1.1111111111111112,0.0,erf,loss_pb,0.0003272077745689598
10.0,1.0,0.0,erf,loss_pb,1.5960801377939275e-05

0.25,40.0,0.0,erf,loss_laplace,0.011499046494937933
0.5,20.0,0.0,erf,loss_laplace,0.01083017784095909
0.75,13.333333333333334,0.0,erf,loss_laplace,0.010179115066040727
1.0,10.0,0.0,erf,loss_laplace,0.009545136960116957
1.5,6.666666666666667,0.0,erf,loss_laplace,0.008343410892487276
2.0,5.0,0.0,erf,loss_laplace,0.007258928531006569
2.5,4.0,0.0,erf,loss_laplace,0.006354690662167989
3.0,3.3333333333333335,0.0,erf,loss_laplace,0.0057518412731271135
4.0,2.5,0.0,erf,loss_laplace,0.0061162068706970135
5.0,2.0,0.0,erf,loss_laplace,0.007838830822192775
6.0,1.6666666666666667,0.0,erf,loss_laplace,0.00966500160121577
7.0,1.4285714285714286,0.0,erf,loss_laplace,0.011553376222981322
8.0,1.25,0.0,erf,loss_laplace,0.013739337986284881
9.0,1.1111111111111112,0.0,erf,loss_laplace,0.016481822065701802
10.0,1.0,0.0,erf,loss_laplace,0.01998216100811441

1.0,2.0,0.5,erf,evidence,1000.0,logit
1.31,1.5267175572519083,0.5,erf,evidence,999.9999112968142,logit
1.32,1.5151515151515151,0.5,erf,evidence,999.9999181863961,logit
1.33,1.5037593984962405,0.5,erf,evidence,999.9998768823485,logit
1.334,1.4992503748125936,0.5,erf,evidence,783.7577790913148,logit
1.335,1.4981273408239701,0.5,erf,evidence,313.5053916789526,logit
1.336,1.497005988023952,0.5,erf,evidence,196.06348735266238,logit
1.337,1.4958863126402393,0.5,erf,evidence,142.63796270102895,logit
1.338,1.4947683109118086,0.5,erf,evidence,112.11084315993858,logit
1.339,1.4936519790888723,0.5,erf,evidence,92.3563382559606,logit
1.34,1.4925373134328357,0.5,erf,evidence,78.52913047790649,logit
1.35,1.4814814814814814,0.5,erf,evidence,31.51717020595233,logit
1.4,1.4285714285714286,0.5,erf,evidence,8.01821960589455,logit
1.45,1.3793103448275863,0.5,erf,evidence,4.667102660377118,logit
1.5,1.3333333333333333,0.5,erf,evidence,3.330432004800356,logit
1.75,1.1428571428571428,0.5,erf,evidence,1.4802825926626455,logit
2.0,1.0,0.5,erf,evidence,1.0393613791675353,logit
